ref,file,cat,w,h,date,desc,src
11,ref_011_rotunda_Palace_of_Fine_Arts_March_2018_1460.jpg,rotunda,6000,4000,2018-03-10,San Francisco's Palace of Fine Arts in March 2018,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20March%202018%20%281460%29.jpg
12,ref_012_rotunda_Palace_of_Fine_Arts_March_2018_1470.jpg,rotunda,4000,6000,2018-03-10,San Francisco's Palace of Fine Arts in March 2018,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20March%202018%20%281470%29.jpg
13,ref_013_rotunda_Palace_of_Fine_Arts_March_2018_1484.jpg,rotunda,6000,4000,2018-03-10,San Francisco's Palace of Fine Arts in March 2018,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20March%202018%20%281484%29.jpg
14,ref_014_rotunda_Palace_of_Fine_Arts_March_2018_1486.jpg,rotunda,6000,4000,2018-03-10,San Francisco's Palace of Fine Arts in March 2018,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20March%202018%20%281486%29.jpg
15,ref_015_rotunda_Palace_of_Fine_Arts_March_2018_1488.jpg,rotunda,6000,4000,2018-03-10,San Francisco's Palace of Fine Arts in March 2018,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20March%202018%20%281488%29.jpg
16,ref_016_rotunda_Palace_of_Fine_Arts_March_2018_1529.jpg,rotunda,6000,4000,2018-03-10,San Francisco's Palace of Fine Arts in March 2018,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20March%202018%20%281529%29.jpg
17,ref_017_rotunda_Palace_of_Fine_Arts_March_2018_1539.jpg,rotunda,5889,3922,2018-03-10,San Francisco's Palace of Fine Arts in March 2018,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20March%202018%20%281539%29.jpg
18,ref_018_rotunda_Palace_of_Fine_Arts_March_2018_1545.jpg,rotunda,4000,5165,2018-03-10,San Francisco's Palace of Fine Arts in March 2018,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20March%202018%20%281545%29.jpg
19,ref_019_rotunda_Palace_of_Fine_Arts_March_2018_1558.jpg,rotunda,6000,4000,2018-03-10,San Francisco's Palace of Fine Arts in March 2018,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20March%202018%20%281558%29.jpg
20,ref_020_rotunda_Palace_of_Fine_Arts_March_2018_1610.jpg,rotunda,6000,4000,2018-03-10,San Francisco's Palace of Fine Arts in March 2018,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20March%202018%20%281610%29.jpg
21,ref_021_rotunda_Palace_of_Fine_Arts_panoramio_2.jpg,rotunda,2448,3264,Taken on 2,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20panoramio%20%282%29.jpg
22,ref_022_rotunda_Palace_of_Fine_Arts_02.jpg,rotunda,2592,1944,2010-09-29,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%2002.JPG
23,ref_023_rotunda_Palace_of_Fine_Arts_03.jpg,rotunda,1944,2592,2010-09-29,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%2003.JPG
24,ref_024_rotunda_Palace_of_Fine_Arts_08.jpg,rotunda,4288,2848,Taken on 7,"




This is an image of a place or building that is listed on the National Register of Historic Places in the United States of America. Its reference number is 04000659 (Wikidata).

",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%2008.jpg
25,ref_025_rotunda_Palace_of_Fine_Arts_09.jpg,rotunda,2848,4288,Taken on 7,"




This is an image of a place or building that is listed on the National Register of Historic Places in the United States of America. Its reference number is 04000659 (Wikidata).

",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%2009.jpg
26,ref_026_rotunda_Palace_of_Fine_Arts_10.jpg,rotunda,2848,4288,Taken on 7,"




This is an image of a place or building that is listed on the National Register of Historic Places in the United States of America. Its reference number is 04000659 (Wikidata).

",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%2010.jpg
27,ref_027_rotunda_Palace_of_Fine_Arts_2012_04.jpg,rotunda,3072,2304,10 Septemb,"Palace of Fine Arts, San Francisco, California in Sept, 2012",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%202012%2004.JPG
28,ref_028_rotunda_Palace_of_Fine_Arts_2012_11.jpg,rotunda,3072,2304,10 Septemb,"Palace of Fine Arts, San Francisco, California in Sept, 2012",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%202012%2011.JPG
29,ref_029_rotunda_Palace_of_Fine_Arts_2012_12.jpg,rotunda,3072,2304,10 Septemb,"Palace of Fine Arts, San Francisco, California in Sept, 2012",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%202012%2012.JPG
30,ref_030_rotunda_Palace_of_Fine_Arts_2012_13.jpg,rotunda,3072,2304,10 Septemb,"Palace of Fine Arts, San Francisco, California in Sept, 2012",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%202012%2013.JPG
31,ref_031_rotunda_Palace_of_Fine_Arts_2012_14.jpg,rotunda,3072,2304,10 Septemb,"Palace of Fine Arts, San Francisco, California in Sept, 2012",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%202012%2014.JPG
32,ref_032_rotunda_Palace_of_Fine_Arts_Dome_MG_4345_crop.jpg,rotunda,1800,1200,Taken on 1,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20Dome-MG%204345%20crop.jpg
33,ref_033_rotunda_Palace_of_Fine_Arts_Sa_Francisco_July16.jpg,rotunda,5312,2988,Taken on 1,This is a photo of a place or building that is listed on the California Historical Landmark listing in the United States. Its reference number is,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20Sa%20Francisco%20July16.jpg
34,ref_034_rotunda_Palace_of_Fine_Arts_San_Francisco_December_2021.jpg,rotunda,3024,4032,2021-12-14,Beautiful structure at the Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20San%20Francisco%20December%202021.jpg
35,ref_035_rotunda_Palace_of_Fine_Arts_Theatre_in_San_Francisco.jpg,rotunda,5680,3787,26 May 201,"The Palace of Fine Arts in San Francisco near sunset, with light beams shining through the structure.",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20Theatre%20in%20San%20Francisco.jpg
36,ref_036_rotunda_Palace_of_Fine_Arts_at_Dusk.jpg,rotunda,1272,885,Taken on 2,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20at%20Dusk.jpg
37,ref_037_rotunda_Palace_of_Fine_Arts_at_night_2012.jpg,rotunda,2448,3264,Taken on 3,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20at%20night%202012.JPG
38,ref_038_rotunda_Palace_of_Fine_Arts_during_Schon_Holt_Salahi_weddi.jpg,rotunda,5072,3407,2013-12-15,"The San Francisco Palace of Fine Arts during the wedding of rock guitarist Neal Schon and Michaele Holt Salahi (The Real Housewives of D.C.) on December 15, 2013. For this occasion, a white tent had b",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20during%20Schon%20%E2%80%93%20Holt%20Salahi%20wedding.jpg
39,ref_039_rotunda_Palace_of_Fine_Arts_Presidio_San_Francisco.jpg,rotunda,3648,5264,2015-09-23,Hauptgebäude des Palace of Fine Arts in San Francisco,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%2C%20Presidio%2C%20San%20Francisco.JPG
40,ref_040_rotunda_Palace_of_Fine_Arts_SF_CA.jpg,rotunda,1920,1920,2014-09-04,"Palace of Fine Arts in San Francisco, California
www.lemathmath.com",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%2C%20SF%2C%20CA.jpg
41,ref_041_rotunda_Palace_of_Fine_Arts_San_Francisco_16669848394.jpg,rotunda,5184,3456,2015-01-11,"Palace of Fine Arts, San Francisco",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%2C%20San%20Francisco%20%2816669848394%29.jpg
42,ref_042_rotunda_Palace_of_Fine_Arts_San_Francisco_March_1915.jpg,rotunda,1779,2262,1914,"
Identifier: pacificgaselectr61915paci (find matches)
Title: Pacific Gas and Electric magazine
Year: 1909 (1900s)
Authors:  Pacific Gas and Electric Company
Subjects:  Pacific Gas and Electric Company",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%2C%20San%20Francisco%2C%20March%201915.jpg
43,ref_043_rotunda_Palace_of_Fine_Arts_10.jpg,rotunda,5616,3744,Taken on 1,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts-10.jpg
44,ref_044_rotunda_Palace_of_Fine_Arts_11.jpg,rotunda,5616,3744,Taken on 1,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts-11.jpg
45,ref_045_rotunda_Palace_of_Fine_Arts_12.jpg,rotunda,5616,3744,Taken on 1,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts-12.jpg
46,ref_046_rotunda_Palace_of_Fine_Arts_13.jpg,rotunda,5616,3744,Taken on 1,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts-13.jpg
47,ref_047_rotunda_Palace_of_Fine_Arts_14.jpg,rotunda,5616,3744,Taken on 1,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts-14.jpg
48,ref_048_rotunda_Palace_of_Fine_Arts_15.jpg,rotunda,5616,3744,Taken on 1,Palace of Fine Arts — in San Francisco.,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts-15.jpg
49,ref_049_rotunda_Palace_of_Fine_Arts_16.jpg,rotunda,5616,3744,Taken on 1,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts-16.jpg
50,ref_050_rotunda_Palace_of_Fine_Arts_17.jpg,rotunda,5616,3744,Taken on 1,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts-17.jpg
51,ref_051_rotunda_Palace_of_Fine_Arts_18.jpg,rotunda,5616,3744,Taken on 1,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts-18.jpg
52,ref_052_rotunda_Palace_of_Fine_Arts_19.jpg,rotunda,5616,3744,Taken on 1,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts-19.jpg
53,ref_053_rotunda_Palace_of_Fine_Arts_20.jpg,rotunda,5470,3647,Taken on 1,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts-20.jpg
54,ref_054_rotunda_Palace_of_Fine_Arts_21.jpg,rotunda,5616,3744,Taken on 1,Architectural sculpture by Ulric Ellerhusen (1915) — at the Palace of Fine Arts in San Francisco.,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts-21.jpg
55,ref_055_rotunda_Palace_of_Fine_Arts_22.jpg,rotunda,5616,3744,Taken on 1,Architectural sculpture by Ulric Ellerhusen (1915) — at the Palace of Fine Arts in San Francisco.,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts-22.jpg
56,ref_056_rotunda_Palace_of_Fine_Arts_23.jpg,rotunda,5616,3744,Taken on 1,Architectural sculpture by Ulric Ellerhusen (1915) — at the Palace of Fine Arts in San Francisco.,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts-23.jpg
57,ref_057_rotunda_Palace_of_Fine_Arts_29.jpg,rotunda,5616,3744,Taken on 1,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts-29.jpg
58,ref_058_rotunda_Palace_of_Fine_Arts_30.jpg,rotunda,5515,3677,Taken on 1,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts-30.jpg
59,ref_059_rotunda_Palace_of_Fine_Arts_31.jpg,rotunda,5515,3677,Taken on 1,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts-31.jpg
60,ref_060_rotunda_Palace_of_Fine_Arts_33.jpg,rotunda,5616,3744,Taken on 1,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts-33.jpg
61,ref_061_rotunda_Palace_of_Fine_Arts_Detail_of_Rotunda.jpg,rotunda,3456,5184,2018-05-21,Palace of Fine Arts. Detail of Rotunda.,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts.%20Detail%20of%20Rotunda.jpg
62,ref_062_rotunda_Palace_of_Fine_Arts_View_of_Rotunda_from_north_eas.jpg,rotunda,4836,3454,2018-05-21,Palace of Fine Arts. View of Rotunda from north-east.,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts.%20View%20of%20Rotunda%20from%20north-east.jpg
63,ref_063_rotunda_Palace_of_Fine_Arts_View_of_Rotunda_from_south_eas.jpg,rotunda,5184,3456,2018-05-21,Palace of Fine Arts. View of Rotunda from south-east.,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts.%20View%20of%20Rotunda%20from%20south-east.jpg
64,ref_064_rotunda_Palace_of_fine_arts_2006.jpg,rotunda,1926,2299,"Monday, 05","The Palace of Fine Arts, which is nearby the Exploratorium[1] in San Francisco.",https://commons.wikimedia.org/wiki/File%3APalace%20of%20fine%20arts%202006.JPG
65,ref_065_rotunda_Palace_of_fine_arts_in_San_Francisco.jpg,rotunda,1280,960,<p>Not giv,"
Image title: Palace of fine arts in San Francisco
Image from Public domain images website, http://www.public-domain-image.com/full-image/architecture-public-domain-images-pictures/buildings-public-do",https://commons.wikimedia.org/wiki/File%3APalace%20of%20fine%20arts%20in%20San%20Francisco.jpg
66,ref_066_rotunda_Palace_of_fine_arts_20180504.jpg,rotunda,4048,3036,2018-05-04,The Rotunda of the Palace of Fine Arts on a May afternoon,https://commons.wikimedia.org/wiki/File%3APalace-of-fine-arts-20180504.jpg
67,ref_067_rotunda_Palacio_de_Finas_Artes_San_Francisco.jpg,rotunda,2848,4288,2013-07-24,"Palacio de Bellas Artes (Fine Arts), situado en el distrito de La Marina, en la parte norte de San Francisco, cerca del famoso puente colgante Golden Gate. Se trata de un palacete, situado junto a un ",https://commons.wikimedia.org/wiki/File%3APalacio%20de%20Finas%20Artes%20San%20Francisco.jpg
68,ref_068_rotunda_Partial_view_of_the_dome_from_below_Palace_of_Fine.jpg,rotunda,2048,1153,30 May 201,"Marina District, San Francisco, CA, USA",https://commons.wikimedia.org/wiki/File%3APartial%20view%20of%20the%20dome%20from%20below%2C%20Palace%20of%20Fine%20Arts%2C%20SF.jpg
69,ref_069_rotunda_Reliefs_Palace_of_Fine_Arts_San_Francisco_CA_DSC02.jpg,rotunda,5472,3648,2017-12-08,"Palace of Fine Arts - San Francisco, California, USA.",https://commons.wikimedia.org/wiki/File%3AReliefs%20-%20Palace%20of%20Fine%20Arts%20-%20San%20Francisco%2C%20CA%20-%20DSC02444.jpg
70,ref_070_rotunda_Rotunda_Palace_of_Fine_Arts_San_Francisco_CA_DSC02.jpg,rotunda,3548,5345,2017-12-08,"Palace of Fine Arts - San Francisco, California, USA. Constructed c. 1914.",https://commons.wikimedia.org/wiki/File%3ARotunda%20-%20Palace%20of%20Fine%20Arts%20-%20San%20Francisco%2C%20CA%20-%20DSC02418.jpg
71,ref_071_rotunda_Rotunda_Palace_of_Fine_Arts_San_Francisco_CA_DSC02.jpg,rotunda,3967,3572,2017-12-08,"Palace of Fine Arts - San Francisco, California, USA. Constructed c. 1914.",https://commons.wikimedia.org/wiki/File%3ARotunda%20-%20Palace%20of%20Fine%20Arts%20-%20San%20Francisco%2C%20CA%20-%20DSC02420.jpg
72,ref_072_rotunda_Rotunda_Palace_of_Fine_Arts_San_Francisco_CA_DSC02.jpg,rotunda,3648,4566,2017-12-08,"Rotunda - Palace of Fine Arts - San Francisco, California, USA.",https://commons.wikimedia.org/wiki/File%3ARotunda%20-%20Palace%20of%20Fine%20Arts%20-%20San%20Francisco%2C%20CA%20-%20DSC02442.jpg
73,ref_073_rotunda_Rotunda_dome_interior_San_Francisco_CA_USA_9479192.jpg,rotunda,3456,4608,2011-10-10,"This is a part of the rotunda dome interior of the Palace of Fine Arts in San Francisco, CA, USA.

By the founder of www.hometipsor.com/",https://commons.wikimedia.org/wiki/File%3ARotunda%20dome%20interior%2C%20San%20Francisco%2C%20CA%2C%20USA%20%289479192199%29%20%282%29.jpg
74,ref_074_rotunda_Rotunda_San_Francisco_CA_USA_9479188459_2.jpg,rotunda,4608,3456,2011-10-10,"A close view at the exterior of the Palace of Fine Arts rotunda in San Francisco, CA, USA.

By the founder of www.xperthometips.com/",https://commons.wikimedia.org/wiki/File%3ARotunda%2C%20San%20Francisco%2C%20CA%2C%20USA%20%289479188459%29%20%282%29.jpg
75,ref_075_rotunda_Rotunda_Ceiling.jpg,rotunda,3128,2346,2013-01-01,"




This is an image of a place or building that is listed on the National Register of Historic Places in the United States of America. Its reference number is 04000659 (Wikidata).


Rotunda ceiling",https://commons.wikimedia.org/wiki/File%3ARotunda-Ceiling.jpg
76,ref_076_rotunda_SF_Palace_of_Fine_Arts_Dome.jpg,rotunda,2400,2140,2013-10-19,"




This is an image of a place or building that is listed on the National Register of Historic Places in the United States of America. Its reference number is 08000083 (Wikidata).

",https://commons.wikimedia.org/wiki/File%3ASF%20Palace%20of%20Fine%20Arts%20Dome.jpg
77,ref_077_rotunda_San_Francisco_24415143298.jpg,rotunda,4032,3024,2017-10-06,"Rotunda at the Palace of Fine Arts, San Francisco",https://commons.wikimedia.org/wiki/File%3ASan%20Francisco%20%2824415143298%29.jpg
78,ref_078_rotunda_San_Francisco_34615450294.jpg,rotunda,2048,1536,2017-06-20,"&lt;a href=""https://usareisetipps.com/14-tag-point-lobos-state-reserve-san-francisco/"" rel=""nofollow""&gt;usareisetipps.com/14-tag-point-lobos-state-reserve-san-fr...&lt;/a&gt;",https://commons.wikimedia.org/wiki/File%3ASan%20Francisco%20%2834615450294%29.jpg
79,ref_079_rotunda_San_Francisco_34647319243.jpg,rotunda,2048,1536,2017-06-20,"&lt;a href=""https://usareisetipps.com/14-tag-point-lobos-state-reserve-san-francisco/"" rel=""nofollow""&gt;usareisetipps.com/14-tag-point-lobos-state-reserve-san-fr...&lt;/a&gt;",https://commons.wikimedia.org/wiki/File%3ASan%20Francisco%20%2834647319243%29.jpg
80,ref_080_rotunda_San_Francisco_35290378482.jpg,rotunda,2048,1536,2017-06-20,"&lt;a href=""https://usareisetipps.com/14-tag-point-lobos-state-reserve-san-francisco/"" rel=""nofollow""&gt;usareisetipps.com/14-tag-point-lobos-state-reserve-san-fr...&lt;/a&gt;",https://commons.wikimedia.org/wiki/File%3ASan%20Francisco%20%2835290378482%29.jpg
81,ref_081_rotunda_San_Francisco_38307141151.jpg,rotunda,4032,3024,2017-10-06,San Francisco.,https://commons.wikimedia.org/wiki/File%3ASan%20Francisco%20%2838307141151%29.jpg
82,ref_082_rotunda_San_Francisco_39226297330.jpg,rotunda,6720,4480,2017-10-07,San Francisco.,https://commons.wikimedia.org/wiki/File%3ASan%20Francisco%20%2839226297330%29.jpg
83,ref_083_rotunda_San_Francisco_40326830584.jpg,rotunda,6720,4480,2017-10-07,San Francisco.,https://commons.wikimedia.org/wiki/File%3ASan%20Francisco%20%2840326830584%29.jpg
84,ref_084_rotunda_San_Francisco_40998310452.jpg,rotunda,6720,4480,2017-10-07,San Francisco.,https://commons.wikimedia.org/wiki/File%3ASan%20Francisco%20%2840998310452%29.jpg
85,ref_085_rotunda_San_Francisco_CA_USA_Palace_of_Fine_Arts_2022_0921.jpg,rotunda,5447,3631,Taken on 2,"Palace of Fine Arts in San Francisco, California, USA",https://commons.wikimedia.org/wiki/File%3ASan%20Francisco%20%28CA%2C%20USA%29%2C%20Palace%20of%20Fine%20Arts%20--%202022%20--%200921.jpg
86,ref_086_rotunda_San_Francisco_Palace_Of_Fine_Art.jpg,rotunda,2627,1970,Taken on 1,​San Francisco,https://commons.wikimedia.org/wiki/File%3ASan%20Francisco%20Palace%20Of%20Fine%20Art.jpg
87,ref_087_rotunda_San_Francisco_Palace_of_Fine_Arts_with_Trees_01.jpg,rotunda,1200,1600,2011-03-20,Palace of Fine Arts - View with Trees,https://commons.wikimedia.org/wiki/File%3ASan%20Francisco%20Palace%20of%20Fine%20Arts%20-%20with%20Trees%2001.jpg
88,ref_088_rotunda_San_Francisco_California3920.jpg,rotunda,1920,2560,2007-07-30,"Palace of Fine Arts, San Francisco, California, USA",https://commons.wikimedia.org/wiki/File%3ASan%20Francisco-California3920.JPG
89,ref_089_rotunda_Sf_exploratorium.jpg,rotunda,2304,2123,25 Novembe,"Photographer: Petr Grolmus, Czech Republic
Title: Exploratorium

Taken on: May 31, 2005, 17:16",https://commons.wikimedia.org/wiki/File%3ASf%20exploratorium.jpg
90,ref_090_rotunda_The_Palace_of_Fine_Arts_San_Francisco_2013.jpg,rotunda,2918,3891,Taken on 2,"The Palace of Fine Arts, San Francisco, California, USA. Original description: the exploratorium, which is adjacent to this structure, is moving downtown to pier 15.
this move will liberate the curren",https://commons.wikimedia.org/wiki/File%3AThe%20Palace%20of%20Fine%20Arts%20San%20Francisco%20%282013%29.jpg
91,ref_091_rotunda_The_Palace_of_Fine_Arts_and_its_lagoon_in_San_Fran.jpg,rotunda,4608,3456,2011-10-10,"Tourists observing the lagoon of the Palace of Fine Arts in San Francisco, California, USA.",https://commons.wikimedia.org/wiki/File%3AThe%20Palace%20of%20Fine%20Arts%20and%20its%20lagoon%20in%20San%20Francisco%2C%20CA%2C%20USA%20%289479175225%29%20%282%29.jpg
92,ref_092_rotunda_The_Presidio_Palace_of_Fine_Arts_March_2018_0210.jpg,rotunda,6000,4000,2018-03-01,View of Palace of Fine Arts from The Presidio of San Francisco in March 2018,https://commons.wikimedia.org/wiki/File%3AThe%20Presidio%20-%20Palace%20of%20Fine%20Arts%20-%20March%202018%20%280210%29.jpg
93,ref_093_rotunda_The_rotunda_of_the_Palace_of_Fine_Arts_San_Francis.jpg,rotunda,4608,3456,2011-10-10,"A view from the lagoon at the rotunda dome construction exterior which is part of the Palace of Fine Arts in San Francisco, CA, USA.

By the founder of www.truehometips.com/",https://commons.wikimedia.org/wiki/File%3AThe%20rotunda%20of%20the%20Palace%20of%20Fine%20Arts%2C%20San%20Francisco%2C%20CA%2C%20USA%20%289479180947%29%20%282%29.jpg
94,ref_094_rotunda_Tomb_interior_ceiling_of_Palace_of_Fine_Arts.jpg,rotunda,3648,2736,Taken on 2,Palace of Fine Arts,https://commons.wikimedia.org/wiki/File%3ATomb%20interior%20ceiling%20of%20Palace%20of%20Fine%20Arts.jpg
95,ref_095_rotunda_US_CA_San_Francisco_North_America_The_West_4889277.jpg,rotunda,2816,2112,2007-07-28,"north america, 2007-07 -- American West Road Trip, the west
",https://commons.wikimedia.org/wiki/File%3AUS-CA%20-%20San%20Francisco%20-%20North%20America%20-%20The%20West%20%284889277793%29.jpg
96,ref_096_rotunda_US_CA_San_Francisco_North_America_The_West_4889303.jpg,rotunda,2112,2816,Taken on 2,"north america, 2007-07 -- American West Road Trip, the west
",https://commons.wikimedia.org/wiki/File%3AUS-CA%20-%20San%20Francisco%20-%20North%20America%20-%20The%20West%20%284889303629%29.jpg
97,ref_097_rotunda_View_of_San_Francisco_from_Crissy_Park_panoramio_6.jpg,rotunda,6000,4000,Taken on 1,View of San Francisco from Crissy Park.,https://commons.wikimedia.org/wiki/File%3AView%20of%20San%20Francisco%20from%20Crissy%20Park%20-%20panoramio%20%286%29.jpg
98,ref_098_main_2016_09_25_Palace_of_Fine_Arts_San_Francisco_NRHP.jpg,main,5152,3864,2016-09-25,2016.09.25-Palace of Fine Arts San Francisco NRHP Reference No 04000659,https://commons.wikimedia.org/wiki/File%3A2016.09.25-Palace%20of%20Fine%20Arts%20San%20Francisco%20NRHP%20Reference%20No%2004000659.jpg
